Ticker,Model,MAE,MSE,R2
AAPL,LinearRegression,0.013095127001443543,0.000385005100762892,-0.02759474277132612
AAPL,RandomForest,0.012762849197667061,0.000385285078812675,-0.028342015915183927
AAPL,LSTM,0.013463565432061548,0.00042019751578862923,-0.12152477277408646
AMZN,LinearRegression,0.014720066532241918,0.0004243219328082817,0.0010891649472585252
AMZN,RandomForest,0.014849579685506433,0.00042464885957112946,0.0003195354267762074
AMZN,LSTM,0.0158324590558835,0.000462049914484394,-0.08772757245662133
JPM,LinearRegression,0.01234483239626566,0.00031699846903445605,-0.10297043370324177
JPM,RandomForest,0.011207382966548147,0.0002923871831219977,-0.017337462731675135
JPM,LSTM,0.03400637153250537,0.0015855726105102868,-4.51687115464404
MSFT,LinearRegression,0.010559467180633896,0.0002327561227027638,-0.0175804997208584
MSFT,RandomForest,0.01037864363648113,0.00023414183614543722,-0.023638664640825757
MSFT,LSTM,0.011690285123086914,0.00025485902538983907,-0.11421161086167153
XOM,LinearRegression,0.010997468002392277,0.00021515960322458243,-0.02690226471449808
XOM,RandomForest,0.010751895878026716,0.00020672737114816458,0.013342642257343829
XOM,LSTM,0.011356944435614365,0.0002235275393140865,-0.06684030323341328
